time,mdot
1.000000e+00,3.391111e-07
1.029077e+00,3.232925e-07
1.058999e+00,3.082118e-07
1.089792e+00,2.938345e-07
1.121480e+00,2.801279e-07
1.154089e+00,2.670607e-07
1.187646e+00,2.546030e-07
1.222179e+00,2.427265e-07
1.257717e+00,2.314039e-07
1.294287e+00,2.206096e-07
1.331921e+00,2.103187e-07
1.370649e+00,2.005079e-07
1.410503e+00,1.911548e-07
1.451517e+00,1.822379e-07
1.493722e+00,1.737370e-07
1.537155e+00,1.656326e-07
1.581851e+00,1.579063e-07
1.627846e+00,1.505404e-07
1.675179e+00,1.435181e-07
1.723888e+00,1.368234e-07
1.774013e+00,1.304409e-07
1.825596e+00,1.243562e-07
1.878679e+00,1.185553e-07
1.933305e+00,1.130250e-07
1.989520e+00,1.077527e-07
2.047369e+00,1.027263e-07
2.106900e+00,9.793443e-08
2.168162e+00,9.336605e-08
2.231206e+00,8.901077e-08
2.296083e+00,8.485866e-08
2.362846e+00,8.090023e-08
2.431550e+00,7.712645e-08
2.502252e+00,7.352871e-08
2.575010e+00,7.009879e-08
2.649883e+00,6.682887e-08
2.726934e+00,6.371148e-08
2.806225e+00,6.073951e-08
2.887821e+00,5.790618e-08
2.971790e+00,5.520501e-08
3.058201e+00,5.262984e-08
3.147124e+00,5.017480e-08
3.238632e+00,4.783428e-08
3.332802e+00,4.560294e-08
3.429710e+00,4.347568e-08
3.529435e+00,4.144766e-08
3.632060e+00,3.951424e-08
3.737669e+00,3.767100e-08
3.846349e+00,3.591375e-08
3.958190e+00,3.423847e-08
4.073282e+00,3.264134e-08
4.191720e+00,3.111871e-08
4.313602e+00,2.966710e-08
4.439029e+00,2.828321e-08
4.568102e+00,2.696388e-08
4.700929e+00,2.570608e-08
4.837617e+00,2.450696e-08
4.978280e+00,2.336378e-08
5.123033e+00,2.227392e-08
5.271996e+00,2.123490e-08
5.425289e+00,2.024435e-08
5.583040e+00,1.930001e-08
5.745378e+00,1.839971e-08
5.912436e+00,1.754142e-08
6.084351e+00,1.672316e-08
6.261265e+00,1.594307e-08
